GeoName,Description,years,value_x,value_y,difference
Hawaii,Rents,2009,164.6,100.9,63.13181367690781
Idaho,Rents,2009,82.5,100.9,-18.235877106045596
Illinois,Rents,2009,101.6,100.9,0.6937561942517231
Indiana,Rents,2009,77.6,100.9,-23.09217046580774
Iowa,Rents,2009,73.9,100.9,-26.7591674925669
Kansas,Rents,2009,75.6,100.9,-25.074331020812696
Kentucky,Rents,2009,67.2,100.9,-33.3994053518335
Louisiana,Rents,2009,76.7,100.9,-23.984142715559962
Maine,Rents,2009,96.0,100.9,-4.856293359762146
Maryland,Rents,2009,125.7,100.9,24.578790882061444
Massachusetts,Rents,2009,124.4,100.9,23.290386521308225
Michigan,Rents,2009,84.5,100.9,-16.25371655104064
Minnesota,Rents,2009,96.1,100.9,-4.757185332011904
Mississippi,Rents,2009,61.9,100.9,-38.65213082259664
Missouri,Rents,2009,74.7,100.9,-25.966303270564918
Montana,Rents,2009,79.9,100.9,-20.81268582755203
Nebraska,Rents,2009,74.8,100.9,-25.867195242814674
Nevada,Rents,2009,113.4,100.9,12.38850346878097
New Hampshire,Rents,2009,122.7,100.9,21.605550049554008
New Jersey,Rents,2009,141.0,100.9,39.74231912784935
New Mexico,Rents,2009,81.2,100.9,-19.52428146679881
New York,Rents,2009,133.6,100.9,32.40832507433101
North Carolina,Rents,2009,79.7,100.9,-21.01090188305253
North Dakota,Rents,2009,72.6,100.9,-28.04757185332013
Ohio,Rents,2009,74.1,100.9,-26.56095143706641
Oklahoma,Rents,2009,69.2,100.9,-31.41724479682854
Oregon,Rents,2009,101.1,100.9,0.19821605550048427
Pennsylvania,Rents,2009,87.9,100.9,-12.884043607532208
Rhode Island,Rents,2009,106.2,100.9,5.252725470763129
South Carolina,Rents,2009,77.5,100.9,-23.19127849355798
South Dakota,Rents,2009,62.8,100.9,-37.760158572844404
Tennessee,Rents,2009,73.7,100.9,-26.957383548067394
Texas,Rents,2009,88.2,100.9,-12.58671952428147
Utah,Rents,2009,97.2,100.9,-3.6669970267591703
Vermont,Rents,2009,113.7,100.9,12.68582755203171
Virginia,Rents,2009,113.7,100.9,12.68582755203171
Washington,Rents,2009,113.8,100.9,12.784935579781953
West Virginia,Rents,2009,61.7,100.9,-38.85034687809713
Wisconsin,Rents,2009,88.0,100.9,-12.784935579781967
Wyoming,Rents,2009,87.7,100.9,-13.082259663032708
United States,Other,2009,100.1,100.1,0.0
Alabama,Other,2009,93.2,100.1,-6.893106893106885
Alaska,Other,2009,100.4,100.1,0.2997002997003111
Arizona,Other,2009,98.9,100.1,-1.1988011988011875
Arkansas,Other,2009,92.2,100.1,-7.892107892107885
California,Other,2009,105.3,100.1,5.194805194805198
Colorado,Other,2009,97.1,100.1,-2.997002997002997
Connecticut,Other,2009,110.8,100.1,10.689310689310693
Delaware,Other,2009,105.0,100.1,4.8951048951049
District of Columbia,Other,2009,113.5,100.1,13.386613386613394
Florida,Other,2009,95.6,100.1,-4.495504495504496
Georgia,Other,2009,94.7,100.1,-5.394605394605386
Hawaii,Other,2009,106.6,100.1,6.493506493506494
Idaho,Other,2009,96.9,100.1,-3.196803196803186
Illinois,Other,2009,100.1,100.1,0.0
Indiana,Other,2009,94.0,100.1,-6.093906093906089
Iowa,Other,2009,91.3,100.1,-8.791208791208788
Kansas,Other,2009,91.1,100.1,-8.991008991008991
Kentucky,Other,2009,92.6,100.1,-7.492507492507492
